Disease,Diet
Chicken pox,"['Mashed potatoes', 'Applesauce', 'Water', 'Herbal teas', 'Citrus fruits', 'Berries', 'Carrots', 'Peanut butter', 'Almond butter', 'Avocado', 'Nuts and seeds', 'Olive oil', 'Whole milk', 'Full-fat yogurt', 'Cheese', 'Dried fruits', 'Fresh fruit juices', 'Coconut water', 'Vegetable juices']"
Dengue,"['Watermelon', 'Cucumber', 'Coconut water', 'Herbal teas', 'Citrus fruits', 'Water', 'Fresh fruit juices', 'Vegetable juices', 'Bananas']"
Typhoid,"['Rice', 'Plain pasta', 'Vegetables', 'Clear soups', 'Bananas', 'rice', 'plain pasta', 'Clear soups', 'bananas', 'applesauce', 'Herbal teas', 'water', 'salt water', 'Water', 'Herbal teas', 'Fresh fruit juices', 'Coconut water', 'Vegetable juices']"
hepatitis A,"['Whole milk', 'Applesauce', 'Watermelon', 'Avocado', 'Chickpeas', 'Coconut water', 'Nuts', 'Greek yogurt', 'Herbal teas', 'Lentils']"
Hepatitis B,"['Greek yogurt', 'Whole grains', 'Watermelon', 'Herbal teas', 'Avocado', 'Nuts', 'Whole milk', 'Chickpeas', 'Apples', 'Leafy greens', 'Coconut water', 'Lentils']"
Hepatitis C,"['Herbal teas', 'Whole milk', 'Chickpeas', 'Quinoa', 'Watermelon', 'Oranges', 'Avocado', 'Nuts ', 'Green tea', 'Spinach', 'Greek yogurt', 'Lentils', 'Coconut water']"
Hepatitis D,"['Herbal teas', 'Whole milk', 'Broccoli', 'Blueberries', 'Avocado', 'Nuts ', 'Coconut water', 'Peppermint tea', 'Brown rice', 'Chickpeas', 'Watermelon', 'Lentils']"
Hepatitis E,"['Herbal teas', 'Whole milk', 'Oatmeal', 'Bananas', 'Avocado', 'Nuts', 'Coconut water', 'Ginger tea', 'Chickpeas', 'Watermelon', 'Lentils']"
Alcoholic hepatitis,"['Leafy greens', 'Avocado', 'Walnuts', 'Olive oil', 'Spinach', 'Quinoa', 'Chia seeds', 'Broccoli']"
Tuberculosis,"['Brown rice', 'Apples', 'Almonds', 'Chamomile tea', 'Whole wheat bread', 'Green peas', 'Turmeric']"
Common Cold,"['Oranges', 'Ginger', 'Garlic', 'Peppermint tea', 'Honey', 'Lemon', 'Cayenne pepper']"
Pneumonia,"['Oatmeal', 'Apples', 'Spinach', 'Chamomile tea','Carrots', 'Ginger']"
Dimorphic hemmorhoids(piles),"['Oats', 'Apples', 'Spinach', 'Flaxseeds', 'Chamomile tea']"
Heart attack,"['Oats', 'Apples', 'Spinach', 'Flaxseeds', 'Chamomile tea', 'Sweet potatoes', 'Pears']"
Varicose veins,"['Oranges', 'Strawberries', 'Spinach', 'Brown rice', 'Almonds', 'Beets', 'Tomatoes']"
Hypothyroidism,"['Barley', 'Apples', 'Spinach', 'Chamomile tea', 'Lentils', 'Sunflower seeds', 'Kale']"
Hyperthyroidism,"['Barley', 'Apples', 'Spinach', 'Chamomile tea', 'Lentils', 'Sunflower seeds', 'Kale']"
Hypoglycemia,"['Quinoa', 'Lentils', 'Sweet potatoes', 'Oats', 'Barley', 'Garbanzo beans', 'Cinnamon']"
Osteoarthristis,"['Olive oil', 'Walnuts', 'Blueberries', 'Spinach', 'Turmeric', 'Grapes', 'Pineapple']"
Arthritis,"['Olive oil', 'Walnuts', 'Blueberries', 'Spinach', 'Turmeric', 'Grapes', 'Pineapple']"
(vertigo) Paroymsal  Positional Vertigo,"['Bananas', 'Ginger', 'Yogurt', 'Oats', 'Peppermint tea', 'Apples', 'Honey']"
Acne,"['Blueberries', 'Spinach', 'Salmon', 'Almonds', 'Water']"
Urinary tract infection,"['Cranberries', 'Yogurt', 'Cucumber', 'Barley', 'Lemon', 'Watermelon', 'Celery']"
Psoriasis,"['Carrots', 'Walnuts', 'Spinach', 'Fresh fruits', 'Olive oil', 'Salmon', 'Flaxseeds']"
Impetigo,"['Yogurt', 'Garlic', 'Ginger', 'Honey', 'Fresh fruits', 'Turmeric', 'Coconut oil']"
